Service,Path,Apps/Components
apiRequestModalService,src/services/apiRequestModalService.tsx,"src/App.tsx; src/pages/PingOneAuditActivities.tsx; src/pages/PingOneIdentityMetrics.tsx; src/services/apiRequestModalService.tsx"
apiUtils,src/services/apiUtils.ts,"src/services/enhancedPingOneMfaService.ts"
authConfigurationService,src/services/authConfigurationService.ts,"src/hooks/useAuthActions.ts; src/services/authConfigurationService.ts"
authErrorRecoveryService,src/services/authErrorRecoveryService.ts,"src/services/authErrorRecoveryService.ts"
authMethodService,src/services/authMethodService.tsx,"ARCHITECTURE_DIAGRAM.md; CODE_ANALYSIS_REPORT_2025.md; src/locked/email-v8/dependencies/v8/components/UserLoginModalV8.tsx; src/locked/email-v8/dependencies/v8/components/WorkerTokenModalV8.tsx; src/locked/email-v8/dependencies/v8/services/authMethodServiceV8.ts; src/locked/email-v8/manifest.json; src/locked/fido2-v8/dependencies/v8/components/UserLoginModalV8.tsx; src/locked/fido2-v8/dependencies/v8/components/WorkerTokenModalV8.tsx; src/locked/fido2-v8/dependencies/v8/services/authMethodServiceV8.ts; src/locked/fido2-v8/manifest.json; src/locked/mfa-hub-v8/dependencies/v8/components/WorkerTokenModalV8.tsx; src/locked/unified-flow-v8u/dependencies/v8/components/WorkerTokenModalV8.tsx; src/locked/unified-flow-v8u/dependencies/v8/services/authMethodServiceV8.ts; src/locked/unified-flow-v8u/manifest.json; src/v8/components/UserLoginModalV8.tsx; src/v8/components/WorkerTokenModalV8.tsx; src/v8/services/authMethodServiceV8.ts"
authTokenService,src/services/authTokenService.ts,"src/hooks/useAuthActions.ts; src/services/authTokenService.ts"
authenticationModalService,src/services/authenticationModalService.tsx,"archived/flows/v6/OAuthAuthorizationCodeFlowV6.tsx; archived/flows/v6/OAuthAuthorizationCodeFlowV6_BROKEN.tsx; archived/flows/v6/OIDCAuthorizationCodeFlowV6.tsx; archived/flows/v6/OIDCHybridFlowV6.tsx; archived/flows/v6/OIDCImplicitFlowV6_Full.tsx; archived/flows/v6/PingOnePARFlowV6_New.tsx; archived/flows/v6/RARFlowV6_New.tsx; src/components/CompleteMFAFlowV7.tsx; src/pages/PingOneAuthentication.tsx; src/pages/flows/OAuthAuthorizationCodeFlowV7.tsx; src/pages/flows/OAuthAuthorizationCodeFlowV7_2.tsx; src/pages/flows/OAuthAuthorizationCodeFlowV7_BACKUP_20251016_083921.tsx; src/pages/flows/OAuthAuthorizationCodeFlowV7_Hybrid.tsx; src/pages/flows/OAuthAuthorizationCodeFlowV7_PAR_Backup.tsx; src/services/authenticationModalService.tsx"
authorizationCodeSharedService,src/services/authorizationCodeSharedService.ts,"archived/flows/v6/OAuthAuthorizationCodeFlowV6.tsx; archived/flows/v6/OAuthAuthorizationCodeFlowV6_BROKEN.tsx; archived/flows/v6/OIDCAuthorizationCodeFlowV6.tsx; archived/flows/v6/PingOnePARFlowV6.tsx; archived/flows/v6/PingOnePARFlowV6_New.tsx; archived/flows/v6/RARFlowV6.tsx; archived/flows/v6/RARFlowV6_New.tsx; archived/flows/v6/RedirectlessFlowV6_Real.tsx; archived/v5-flows/RARFlowV5.tsx; src/pages/flows/OAuthAuthorizationCodeFlowV7.tsx; src/pages/flows/OAuthAuthorizationCodeFlowV7_1/authorizationCodeSharedService.ts; src/pages/flows/OAuthAuthorizationCodeFlowV7_2.tsx; src/pages/flows/OAuthAuthorizationCodeFlowV7_BACKUP_20251016_083921.tsx; src/pages/flows/OAuthAuthorizationCodeFlowV7_Hybrid.tsx; src/pages/flows/OAuthAuthorizationCodeFlowV7_Incomplete_Backup.tsx; src/pages/flows/OAuthAuthorizationCodeFlowV7_PAR_Backup.tsx; src/pages/flows/RedirectlessFlowV7_Real.tsx; src/services/authorizationCodeSharedService.ts"
authorizationRequestService,src/services/authorizationRequestService.ts,"src/pages/flows/KrogerGroceryStoreMFA_New.tsx; src/services/authorizationRequestService.ts"
authorizationUrlValidationModalService,src/services/authorizationUrlValidationModalService.tsx,"src/App.tsx; src/hooks/useAuthorizationUrlValidation.ts; src/services/authorizationUrlValidationModalService.tsx"
authorizationUrlValidationService,src/services/authorizationUrlValidationService.ts,"src/App.tsx; src/hooks/useAuthorizationUrlValidation.ts; src/pages/PingOneAuthentication.tsx; src/services/__tests__/authorizationUrlValidationService.test.ts; src/services/authorizationUrlValidationModalService.tsx; src/services/authorizationUrlValidationService.ts"
authzFlowsService,src/services/authzFlowsService.ts,"src/services/authzFlowsService.ts"
bulletproofDiscoveryService,src/services/bulletproofDiscoveryService.ts,"src/locked/email-v8/dependencies/services/bulletproofDiscoveryService.ts; src/locked/email-v8/dependencies/services/comprehensiveDiscoveryService.ts; src/locked/email-v8/manifest.json; src/locked/fido2-v8/dependencies/services/bulletproofDiscoveryService.ts; src/locked/fido2-v8/dependencies/services/comprehensiveDiscoveryService.ts; src/locked/fido2-v8/manifest.json; src/services/bulletproofDiscoveryService.ts; src/services/comprehensiveDiscoveryService.ts"
callbackUriService,src/services/callbackUriService.ts,"src/components/ConfigurationURIChecker.tsx; src/components/CredentialsInput.tsx; src/components/LogoutUriInfoPanel.tsx; src/components/LogoutUriReference.tsx; src/locked/email-v8/dependencies/components/CredentialsInput.tsx; src/locked/email-v8/dependencies/components/LogoutUriInfoPanel.tsx; src/locked/email-v8/dependencies/services/callbackUriService.ts; src/locked/email-v8/dependencies/services/comprehensiveCredentialsService.tsx; src/locked/email-v8/dependencies/services/flowRedirectUriService.ts; src/locked/email-v8/manifest.json; src/locked/fido2-v8/dependencies/components/CredentialsInput.tsx; src/locked/fido2-v8/dependencies/components/LogoutUriInfoPanel.tsx; src/locked/fido2-v8/dependencies/services/callbackUriService.ts; src/locked/fido2-v8/dependencies/services/comprehensiveCredentialsService.tsx; src/locked/fido2-v8/dependencies/services/flowRedirectUriService.ts; src/locked/fido2-v8/manifest.json; src/pages/Configuration.tsx; src/pages/PingOneAuthentication.tsx; src/pages/flows/OAuthAuthorizationCodeFlowV7.tsx; src/services/callbackUriService.ts; src/services/comprehensiveCredentialsService.tsx; src/services/flowRedirectUriService.ts; src/services/flowUriEducationService.ts"
cibaFlowSharedService,src/services/cibaFlowSharedService.ts,"src/services/cibaFlowSharedService.ts"
claimsRequestService,src/services/claimsRequestService.tsx,"src/services/claimsRequestService.tsx"
clientCredentialsSharedService,src/services/clientCredentialsSharedService.ts,"archived/flows/v6/ClientCredentialsFlowV6.tsx; src/components/CompleteMFAFlowV7.tsx; src/components/MFAUserSettingsGatherer.tsx; src/pages/flows/ClientCredentialsFlowV7_Simple.tsx; src/services/clientCredentialsSharedService.ts"
codeExamplesService,src/services/codeExamplesService.ts,"src/components/CodeExamplesDemo.tsx; src/components/CodeExamplesDisplay.tsx; src/components/CodeExamplesInline.tsx; src/components/VSCodeCodeDisplay.tsx; src/examples/FlowWithCodeExamples.tsx; src/hooks/useCodeExamples.ts; src/services/codeExamplesService.ts"
copyButtonService,src/services/copyButtonService.tsx,"archived/flows/v6/JWTBearerTokenFlowV6.tsx; archived/flows/v6/OAuthAuthorizationCodeFlowV6.tsx; archived/flows/v6/OAuthAuthorizationCodeFlowV6_BROKEN.tsx; archived/flows/v6/OAuthImplicitFlowV6.tsx; archived/flows/v6/OIDCImplicitFlowV6_Full.tsx; archived/flows/v6/PingOnePARFlowV6_New.tsx; archived/flows/v6/SAMLBearerAssertionFlowV6.tsx; src/components/ColoredJsonDisplay.tsx; src/components/ColoredTokenDisplay.tsx; src/components/ColoredUrlDisplay.tsx; src/components/ComprehensiveDiscoveryInput.tsx; src/components/CredentialsInput.tsx; src/components/JWTTokenDisplay.tsx; src/components/PAREducationalPanel.tsx; src/components/response-modes/ResponseModeSelector.tsx; src/locked/device-code-v8/dependencies/components/ColoredUrlDisplay.tsx; src/locked/email-v8/dependencies/components/ColoredUrlDisplay.tsx; src/locked/email-v8/dependencies/components/ComprehensiveDiscoveryInput.tsx; src/locked/email-v8/dependencies/components/CredentialsInput.tsx; src/locked/email-v8/dependencies/components/response-modes/ResponseModeSelector.tsx; src/locked/email-v8/dependencies/services/copyButtonService.tsx; src/locked/email-v8/manifest.json; src/locked/fido2-v8/dependencies/components/ColoredUrlDisplay.tsx; src/locked/fido2-v8/dependencies/components/ComprehensiveDiscoveryInput.tsx; src/locked/fido2-v8/dependencies/components/CredentialsInput.tsx; src/locked/fido2-v8/dependencies/components/response-modes/ResponseModeSelector.tsx; src/locked/fido2-v8/dependencies/services/copyButtonService.tsx; src/locked/fido2-v8/manifest.json; src/locked/unified-flow-v8u/dependencies/components/ColoredUrlDisplay.tsx; src/locked/unified-flow-v8u/dependencies/services/copyButtonService.tsx; src/locked/unified-flow-v8u/dependencies/services/pkceService.tsx; src/locked/unified-flow-v8u/manifest.json; src/pages/Configuration.tsx; src/pages/flows/ClientCredentialsFlowV7_Complete.tsx; src/pages/flows/ImplicitFlowV7.tsx; src/pages/flows/JWTBearerTokenFlowV7.tsx; src/pages/flows/OAuthAuthorizationCodeFlowV7.tsx; src/pages/flows/OAuthAuthorizationCodeFlowV7_2.tsx; src/pages/flows/OAuthAuthorizationCodeFlowV7_BACKUP_20251016_083921.tsx; src/pages/flows/OAuthAuthorizationCodeFlowV7_Hybrid.tsx; src/pages/flows/OAuthAuthorizationCodeFlowV7_PAR_Backup.tsx; src/pages/flows/OIDCHybridFlowV7.tsx; src/services/copyButtonService.tsx; src/services/pkceService.tsx"
credentialBackupService,src/services/credentialBackupService.ts,"CODE_METRICS_REPORT.md; src/components/CredentialBackupManager.tsx; src/hooks/useCredentialBackup.ts; src/services/credentialBackupService.ts"
credentialExportImportService,src/services/credentialExportImportService.ts,"src/components/CredentialSetupModal.tsx; src/locked/email-v8/dependencies/services/credentialExportImportService.ts; src/locked/email-v8/dependencies/v8/components/WorkerTokenModalV8.tsx; src/locked/email-v8/manifest.json; src/locked/fido2-v8/dependencies/services/credentialExportImportService.ts; src/locked/fido2-v8/dependencies/v8/components/WorkerTokenModalV8.tsx; src/locked/fido2-v8/manifest.json; src/locked/mfa-hub-v8/dependencies/v8/components/WorkerTokenModalV8.tsx; src/locked/unified-flow-v8u/dependencies/services/credentialExportImportService.ts; src/locked/unified-flow-v8u/dependencies/v8/components/WorkerTokenModalV8.tsx; src/locked/unified-flow-v8u/manifest.json; src/services/credentialExportImportService.ts; src/v8/components/WorkerTokenModalV8.tsx"
credentialGuardService,src/services/credentialGuardService.ts,"archived/flows/v6/ClientCredentialsFlowV6.tsx; archived/flows/v6/JWTBearerTokenFlowV6.tsx; archived/flows/v6/OAuthImplicitFlowV6.tsx; archived/flows/v6/OIDCHybridFlowV6.tsx; src/hooks/useCredentialGuard.tsx; src/pages/PingOneAuthentication.tsx; src/pages/flows/JWTBearerTokenFlowV7.tsx; src/services/__tests__/v7CredentialValidationService.test.ts; src/services/serviceRegistryIntegration.ts; src/services/v7CredentialValidationService.tsx"
credentialMigrationService,src/services/credentialMigrationService.ts,"src/services/credentialMigrationService.ts"
credentialStorageManager,src/services/credentialStorageManager.ts,"archived/flows/v6/DeviceAuthorizationFlowV6.tsx; src/pages/Configuration.tsx; src/pages/CredentialManagement.tsx; src/pages/flows/KrogerGroceryStoreMFA_New.tsx; src/services/credentialMigrationService.ts; src/services/credentialStorageManager.ts; src/services/redirectlessAuthService.ts; src/services/v8StorageService.ts; src/utils/credentialLoaderV2.ts"
credentialStoreV8,src/services/credentialStoreV8.ts,"src/hooks/useCredentialStoreV8.ts; src/services/credentialStoreV8.ts"
credentialSyncService,src/services/credentialSyncService.ts,"src/hooks/useCredentialSync.ts; src/services/credentialSyncService.ts"
credentialsValidationService,src/services/credentialsValidationService.ts,"src/locked/email-v8/dependencies/services/commonImportsService.ts; src/locked/email-v8/dependencies/services/credentialsValidationService.ts; src/locked/email-v8/manifest.json; src/locked/fido2-v8/dependencies/services/commonImportsService.ts; src/locked/fido2-v8/dependencies/services/credentialsValidationService.ts; src/locked/fido2-v8/manifest.json; src/pages/flows/OAuthAuthorizationCodeFlowV7_1/authorizationCodeSharedService.ts; src/services/authorizationCodeSharedService.ts; src/services/commonImportsService.ts; src/services/credentialsValidationService.ts; src/services/implicitFlowSharedService.ts"
deviceDisplayTemplateService,src/services/deviceDisplayTemplateService.tsx,"src/services/deviceDisplayTemplateService.tsx"
deviceFlowService,src/services/deviceFlowService.ts,"resources/data/semgrep-report.json; scripts/maintenance/fix-parsing-errors.js; scripts/maintenance/fix-services-syntax-errors.js; src/components/AIAgentDeviceFlow.tsx; src/components/AirportKioskDeviceFlow.tsx; src/components/AmazonEchoShowDeviceFlow.tsx; src/components/AppleTVDeviceFlow.tsx; src/components/BoseSmartSpeakerDeviceFlow.tsx; src/components/DeviceFlowDisplay.tsx; src/components/DynamicDeviceFlow.tsx; src/components/FitnessTrackerDeviceFlow.tsx; src/components/GamingConsoleDeviceFlow.tsx; src/components/GasPumpDeviceFlow.tsx; src/components/IndustrialIoTControllerDeviceFlow.tsx; src/components/MCPServerDeviceFlow.tsx; src/components/MobilePhoneDeviceFlow.tsx; src/components/POSTerminalDeviceFlow.tsx; src/components/RingDoorbellDeviceFlow.tsx; src/components/SmartPrinterDeviceFlow.tsx; src/components/SmartSpeakerDeviceFlow.tsx; src/components/SmartTVDeviceFlow.tsx; src/components/SmartVehicleDeviceFlow.tsx; src/components/SonyGameControllerDeviceFlow.tsx; src/components/SquarePOSDeviceFlow.tsx; src/components/TeslaCarDisplayDeviceFlow.tsx; src/components/VizioTVDeviceFlow.tsx; src/locked/device-code-v8/README.md; src/locked/device-code-v8/dependencies/components/AIAgentDeviceFlow.tsx; src/locked/device-code-v8/dependencies/components/AirportKioskDeviceFlow.tsx; src/locked/device-code-v8/dependencies/components/AmazonEchoShowDeviceFlow.tsx; src/locked/device-code-v8/dependencies/components/AppleTVDeviceFlow.tsx; src/locked/device-code-v8/dependencies/components/BoseSmartSpeakerDeviceFlow.tsx; src/locked/device-code-v8/dependencies/components/DynamicDeviceFlow.tsx; src/locked/device-code-v8/dependencies/components/FitnessTrackerDeviceFlow.tsx; src/locked/device-code-v8/dependencies/components/GamingConsoleDeviceFlow.tsx; src/locked/device-code-v8/dependencies/components/GasPumpDeviceFlow.tsx; src/locked/device-code-v8/dependencies/components/IndustrialIoTControllerDeviceFlow.tsx; src/locked/device-code-v8/dependencies/components/MCPServerDeviceFlow.tsx; src/locked/device-code-v8/dependencies/components/MobilePhoneDeviceFlow.tsx; src/locked/device-code-v8/dependencies/components/POSTerminalDeviceFlow.tsx; src/locked/device-code-v8/dependencies/components/RingDoorbellDeviceFlow.tsx; src/locked/device-code-v8/dependencies/components/SmartPrinterDeviceFlow.tsx; src/locked/device-code-v8/dependencies/components/SmartSpeakerDeviceFlow.tsx; src/locked/device-code-v8/dependencies/components/SmartTVDeviceFlow.tsx; src/locked/device-code-v8/dependencies/components/SmartVehicleDeviceFlow.tsx; src/locked/device-code-v8/dependencies/components/SonyGameControllerDeviceFlow.tsx; src/locked/device-code-v8/dependencies/components/SquarePOSDeviceFlow.tsx; src/locked/device-code-v8/dependencies/components/TeslaCarDisplayDeviceFlow.tsx; src/locked/device-code-v8/dependencies/components/VizioTVDeviceFlow.tsx; src/locked/device-code-v8/feature/services/deviceFlowService.ts; src/locked/device-code-v8/manifest.json; src/locked/unified-flow-v8u/dependencies/components/AIAgentDeviceFlow.tsx; src/locked/unified-flow-v8u/dependencies/components/AirportKioskDeviceFlow.tsx; src/locked/unified-flow-v8u/dependencies/components/AmazonEchoShowDeviceFlow.tsx; src/locked/unified-flow-v8u/dependencies/components/AppleTVDeviceFlow.tsx; src/locked/unified-flow-v8u/dependencies/components/BoseSmartSpeakerDeviceFlow.tsx; src/locked/unified-flow-v8u/dependencies/components/DynamicDeviceFlow.tsx; src/locked/unified-flow-v8u/dependencies/components/FitnessTrackerDeviceFlow.tsx; src/locked/unified-flow-v8u/dependencies/components/GamingConsoleDeviceFlow.tsx; src/locked/unified-flow-v8u/dependencies/components/GasPumpDeviceFlow.tsx; src/locked/unified-flow-v8u/dependencies/components/IndustrialIoTControllerDeviceFlow.tsx; src/locked/unified-flow-v8u/dependencies/components/MCPServerDeviceFlow.tsx; src/locked/unified-flow-v8u/dependencies/components/MobilePhoneDeviceFlow.tsx; src/locked/unified-flow-v8u/dependencies/components/POSTerminalDeviceFlow.tsx; src/locked/unified-flow-v8u/dependencies/components/RingDoorbellDeviceFlow.tsx; src/locked/unified-flow-v8u/dependencies/components/SmartPrinterDeviceFlow.tsx; src/locked/unified-flow-v8u/dependencies/components/SmartSpeakerDeviceFlow.tsx; src/locked/unified-flow-v8u/dependencies/components/SmartTVDeviceFlow.tsx; src/locked/unified-flow-v8u/dependencies/components/SmartVehicleDeviceFlow.tsx; src/locked/unified-flow-v8u/dependencies/components/SonyGameControllerDeviceFlow.tsx; src/locked/unified-flow-v8u/dependencies/components/SquarePOSDeviceFlow.tsx; src/locked/unified-flow-v8u/dependencies/components/TeslaCarDisplayDeviceFlow.tsx; src/locked/unified-flow-v8u/dependencies/components/VizioTVDeviceFlow.tsx; src/locked/unified-flow-v8u/dependencies/services/deviceFlowService.ts; src/locked/unified-flow-v8u/manifest.json; src/pages/flows/DeviceFlow.tsx; src/services/deviceDisplayTemplateService.tsx; src/services/deviceFlowService.ts"
deviceManagementService,src/services/deviceManagementService.ts,"src/services/deviceManagementService.ts"
deviceTypeService,src/services/deviceTypeService.tsx,"archived/flows/v6/DeviceAuthorizationFlowV6.tsx; src/pages/flows/DeviceAuthorizationFlowV7.tsx; src/services/deviceTypeService.tsx"
discoveryPersistenceService,src/services/discoveryPersistenceService.ts,"src/components/ComprehensiveDiscoveryInput.tsx; src/hooks/usePersistedDiscovery.ts; src/locked/email-v8/dependencies/components/ComprehensiveDiscoveryInput.tsx; src/locked/email-v8/dependencies/services/discoveryPersistenceService.ts; src/locked/email-v8/manifest.json; src/locked/fido2-v8/dependencies/components/ComprehensiveDiscoveryInput.tsx; src/locked/fido2-v8/dependencies/services/discoveryPersistenceService.ts; src/locked/fido2-v8/manifest.json; src/services/discoveryPersistenceService.ts"
discoveryService,src/services/discoveryService.ts,"resources/data/semgrep-report.json; scripts/maintenance/fix-syntax-errors.js; src/components/DiscoveryPanel.tsx; src/pages/AutoDiscover.tsx; src/pages/Configuration_original.tsx; src/services/discoveryService.ts; src/utils/implicitFlowSecurity.ts"
displayParameterService,src/services/displayParameterService.tsx,"src/services/displayParameterService.tsx"
dpopService,src/services/dpopService.ts,"src/components/DPoPConfiguration.tsx; src/components/PingOneApplicationConfig.tsx; src/locked/email-v8/dependencies/components/PingOneApplicationConfig.tsx; src/locked/email-v8/dependencies/services/dpopService.ts; src/locked/email-v8/manifest.json; src/locked/fido2-v8/dependencies/components/PingOneApplicationConfig.tsx; src/locked/fido2-v8/dependencies/services/dpopService.ts; src/locked/fido2-v8/manifest.json; src/pages/flows/DPoPFlow.tsx; src/services/dpopService.ts"
